prompt,baseline,context,augmented_prompt
qual é o CEP do endereço SCL/N 110 BLOCO A LOJA 60 ASA NORTE?,o CEP do endereço SCL/N 110 BLOCO A LOJA 60 ASA NORTE é 70753010 porque o endereço SCL/N 110 BLOCO A LOJA 60 ASA NORTE está contido no endereço SQN 110 Bloco A Asa Norte cujo CEP é 70753010,"CEP: 70790068 | Descrição: SGAN 906 Módulo H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70833050 | Descrição: SQN 203 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790058 | Descrição: SGAN 905 Módulo H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790051 | Descrição: SGAN 905 Módulo A | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70733050 | Descrição: SQN 104 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70790068 | Descrição: SGAN 906 Módulo H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70833050 | Descrição: SQN 203 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790058 | Descrição: SGAN 905 Módulo H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70790051 | Descrição: SGAN 905 Módulo A | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70733050 | Descrição: SQN 104 Bloco E | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço SCL/N 110 BLOCO A LOJA 60 ASA NORTE?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SDS BLOCO D NR 60 LJ 62 2 SUBSOLO ED ELDORADO ASA SUL?,o CEP do endereço SDS BLOCO D NR 60 LJ 62 2 SUBSOLO ED ELDORADO ASA SUL é 70393900 porque o endereço SDS BLOCO D NR 60 LJ 62 2 SUBSOLO ED ELDORADO ASA SUL está contido no endereço SDS Bloco H Asa Sul cujo CEP é 70393900,"CEP: 70790154 | Descrição: SGAN 915 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70830154 | Descrição: SGAN 604 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70830255 | Descrição: SGAN 606 Módulo E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70347550 | Descrição: CLS 108 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70830304 | Descrição: SGAN 607 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70790154 | Descrição: SGAN 915 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70830154 | Descrição: SGAN 604 Módulo D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70830255 | Descrição: SGAN 606 Módulo E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70347550 | Descrição: CLS 108 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70830304 | Descrição: SGAN 607 Módulo D | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço SDS BLOCO D NR 60 LJ 62 2 SUBSOLO ED ELDORADO ASA SUL?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SCN QUADRA 02 BLOCO D LOJA 310 1 PAVIMENTO SHOPPING LIBERTY MALL ASA NORTE?,o CEP do endereço SCN QUADRA 02 BLOCO D LOJA 310 1 PAVIMENTO SHOPPING LIBERTY MALL ASA NORTE é 70712904 porque o endereço SCN QUADRA 02 BLOCO D LOJA 310 1 PAVIMENTO SHOPPING LIBERTY MALL ASA NORTE está contido no endereço SCN Quadra 2 Bloco D Asa Norte cujo CEP é 70712904,"CEP: 72650852 | Descrição: Avenida Buritís Quadra 805 Comércio Local s/n | Complemento:  | Descrição Bairro: Recanto das Emas
CEP: 70640543 | Descrição: Centro Comercial Bloco D | Complemento:  | Descrição Bairro: Cruzeiro Velho
CEP: 70200902 | Descrição: SES 805 Lote 21B Avenida das Nações | Complemento:  | Descrição Bairro: Asa Sul
CEP: 72650108 | Descrição: Avenida Buritís Quadra 801 Comércio Local s/n | Complemento:  | Descrição Bairro: Recanto das Emas
CEP: 70640553 | Descrição: Centro Comercial Bloco E | Complemento:  | Descrição Bairro: Cruzeiro Velho
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 72650852 | Descrição: Avenida Buritís Quadra 805 Comércio Local s/n | Complemento:  | Descrição Bairro: Recanto das Emas
CEP: 70640543 | Descrição: Centro Comercial Bloco D | Complemento:  | Descrição Bairro: Cruzeiro Velho
CEP: 70200902 | Descrição: SES 805 Lote 21B Avenida das Nações | Complemento:  | Descrição Bairro: Asa Sul
CEP: 72650108 | Descrição: Avenida Buritís Quadra 801 Comércio Local s/n | Complemento:  | Descrição Bairro: Recanto das Emas
CEP: 70640553 | Descrição: Centro Comercial Bloco E | Complemento:  | Descrição Bairro: Cruzeiro Velho


Pergunta:
qual é o CEP do endereço SCN QUADRA 02 BLOCO D LOJA 310 1 PAVIMENTO SHOPPING LIBERTY MALL ASA NORTE?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SHLS QD 716 CJ L BL 2 CONS W423 W425 W 427 A W431 1. SUBSOLO S/N CONS ASA SUL?,o CEP do endereço SHLS QD 716 CJ L BL 2 CONS W423 W425 W 427 A W431 1. SUBSOLO S/N CONS ASA SUL é 70390700 porque o endereço SHLS QD 716 CJ L BL 2 CONS W423 W425 W 427 A W431 1. SUBSOLO S/N CONS ASA SUL está contido no endereço SHLS Asa Sul cujo CEP é 70390700,"CEP: 70742080 | Descrição: SQN 106 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70877100 | Descrição: SQN 414 Bloco J | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70879080 | Descrição: SQN 416 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70767100 | Descrição: SQN 314 Bloco J | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70744080 | Descrição: SQN 108 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70742080 | Descrição: SQN 106 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70877100 | Descrição: SQN 414 Bloco J | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70879080 | Descrição: SQN 416 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70767100 | Descrição: SQN 314 Bloco J | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70744080 | Descrição: SQN 108 Bloco H | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço SHLS QD 716 CJ L BL 2 CONS W423 W425 W 427 A W431 1. SUBSOLO S/N CONS ASA SUL?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço QE 40 CONJUNTO Q LOTE 20 GUARA II?,o CEP do endereço QE 40 CONJUNTO Q LOTE 20 GUARA II é 71070152 porque o endereço QE 40 CONJUNTO Q LOTE 20 GUARA II está contido no endereço QE 40 Conjunto O Guará II cujo CEP é 71070152,"CEP: 72025200 | Descrição: QSE 20 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72016245 | Descrição: QSC 24 Chácara 20 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72025360 | Descrição: QSE Área Especial 20 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72025210 | Descrição: QSE 21 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72025180 | Descrição: QSE 18 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 72025200 | Descrição: QSE 20 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72016245 | Descrição: QSC 24 Chácara 20 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72025360 | Descrição: QSE Área Especial 20 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72025210 | Descrição: QSE 21 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72025180 | Descrição: QSE 18 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)


Pergunta:
qual é o CEP do endereço QE 40 CONJUNTO Q LOTE 20 GUARA II?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SCS QUADRA 01 BLOCO B SALA 614 ASA SUL?,o CEP do endereço SCS QUADRA 01 BLOCO B SALA 614 ASA SUL é 70326900 porque o endereço SCS QUADRA 01 BLOCO B SALA 614 ASA SUL está contido no endereço SCS Quadra 6 Bloco A Lote 71 Asa Sul cujo CEP é 70326900,"CEP: 70347550 | Descrição: CLS 108 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70346550 | Descrição: CLS 107 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70730555 | Descrição: SCLRN 705 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70381550 | Descrição: CRS 516 | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70381520 | Descrição: CRS 515 Bloco B | Complemento:  | Descrição Bairro: Asa Sul
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70347550 | Descrição: CLS 108 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70346550 | Descrição: CLS 107 Bloco E | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70730555 | Descrição: SCLRN 705 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70381550 | Descrição: CRS 516 | Complemento:  | Descrição Bairro: Asa Sul
CEP: 70381520 | Descrição: CRS 515 Bloco B | Complemento:  | Descrição Bairro: Asa Sul


Pergunta:
qual é o CEP do endereço SCS QUADRA 01 BLOCO B SALA 614 ASA SUL?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SHC/NORTE CL QUADRA 311 BLOCO A S/N LOJA 72 PARTE A ASA NORTE?,o CEP do endereço SHC/NORTE CL QUADRA 311 BLOCO A S/N LOJA 72 PARTE A ASA NORTE é 70757510 porque o endereço SHC/NORTE CL QUADRA 311 BLOCO A S/N LOJA 72 PARTE A ASA NORTE está contido no endereço CLN 311 Bloco A Asa Norte cujo CEP é 70757510,"CEP: 70847550 | Descrição: CLN 406 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70766550 | Descrição: CLN 313 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70876550 | Descrição: CLN 413 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70846550 | Descrição: CLN 405 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70856550 | Descrição: CLN 408 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70847550 | Descrição: CLN 406 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70766550 | Descrição: CLN 313 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70876550 | Descrição: CLN 413 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70846550 | Descrição: CLN 405 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70856550 | Descrição: CLN 408 Bloco E | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço SHC/NORTE CL QUADRA 311 BLOCO A S/N LOJA 72 PARTE A ASA NORTE?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
"qual é o CEP do endereço QD 14 AREA ESPECIAL , LOTES 24/27 PARTE SOBRADINHO?","o CEP do endereço QD 14 AREA ESPECIAL , LOTES 24/27 PARTE SOBRADINHO é 73050069 porque o endereço QD 14 AREA ESPECIAL , LOTES 24/27 PARTE SOBRADINHO está contido no endereço Quadra 14 Área Especial 24 a 27 Sobradinho cujo CEP é 73050069","CEP: 72145450 | Descrição: QNM 34 Área Especial 1 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72145449 | Descrição: QNM 34 Área Especial | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72025366 | Descrição: QSE Área Especial 22 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72118900 | Descrição: QNG Área Especial 01 Lote 22 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72025363 | Descrição: QSE Área Especial 21 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 72145450 | Descrição: QNM 34 Área Especial 1 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72145449 | Descrição: QNM 34 Área Especial | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72025366 | Descrição: QSE Área Especial 22 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)
CEP: 72118900 | Descrição: QNG Área Especial 01 Lote 22 | Complemento:  | Descrição Bairro: Taguatinga Norte (Taguatinga)
CEP: 72025363 | Descrição: QSE Área Especial 21 | Complemento:  | Descrição Bairro: Taguatinga Sul (Taguatinga)


Pergunta:
qual é o CEP do endereço QD 14 AREA ESPECIAL , LOTES 24/27 PARTE SOBRADINHO?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SCN QUADRA 4 BLOCO B SALA 702 ASA NORTE?,o CEP do endereço SCN QUADRA 4 BLOCO B SALA 702 ASA NORTE é 70714020 porque o endereço SCN QUADRA 4 BLOCO B SALA 702 ASA NORTE está contido no endereço SCN Quadra 4 Bloco B Asa Norte cujo CEP é 70714020,"CEP: 70730555 | Descrição: SCLRN 705 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70730558 | Descrição: SCLRN 705 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70760555 | Descrição: SCLRN 714 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70730535 | Descrição: SCLRN 704 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70760535 | Descrição: SCLRN 713 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70730555 | Descrição: SCLRN 705 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70730558 | Descrição: SCLRN 705 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70760555 | Descrição: SCLRN 714 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70730535 | Descrição: SCLRN 704 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70760535 | Descrição: SCLRN 713 Bloco E | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço SCN QUADRA 4 BLOCO B SALA 702 ASA NORTE?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço COPAIBA LOTE 01 TORRE A SALA 1117 PARTE 35 NORTE (AGUAS CLARAS)?,o CEP do endereço COPAIBA LOTE 01 TORRE A SALA 1117 PARTE 35 NORTE (AGUAS CLARAS) é 71919540 porque o endereço COPAIBA LOTE 01 TORRE A SALA 1117 PARTE 35 NORTE (AGUAS CLARAS) está contido no endereço Rua Copaíba Norte (Águas Claras) cujo CEP é 71919540,"CEP: 72002505 | Descrição: Rua 1 Chácara 106A Conjunto C | Complemento:  | Descrição Bairro: Setor Habitacional Samambaia (Vicente Pires)
CEP: 72002495 | Descrição: Rua 1 Chácara 106A Conjunto A | Complemento:  | Descrição Bairro: Setor Habitacional Samambaia (Vicente Pires)
CEP: 71707993 | Descrição: Rua B, Chácara 14, (Núcleo Rural Córrego da Onça) | Complemento:  | Descrição Bairro:
CEP: 72002455 | Descrição: Rua 1 Chácara 104A | Complemento:  | Descrição Bairro: Setor Habitacional Samambaia (Vicente Pires)
CEP: 72002500 | Descrição: Rua 1 Chácara 106A Conjunto B | Complemento:  | Descrição Bairro: Setor Habitacional Samambaia (Vicente Pires)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 72002505 | Descrição: Rua 1 Chácara 106A Conjunto C | Complemento:  | Descrição Bairro: Setor Habitacional Samambaia (Vicente Pires)
CEP: 72002495 | Descrição: Rua 1 Chácara 106A Conjunto A | Complemento:  | Descrição Bairro: Setor Habitacional Samambaia (Vicente Pires)
CEP: 71707993 | Descrição: Rua B, Chácara 14, (Núcleo Rural Córrego da Onça) | Complemento:  | Descrição Bairro:
CEP: 72002455 | Descrição: Rua 1 Chácara 104A | Complemento:  | Descrição Bairro: Setor Habitacional Samambaia (Vicente Pires)
CEP: 72002500 | Descrição: Rua 1 Chácara 106A Conjunto B | Complemento:  | Descrição Bairro: Setor Habitacional Samambaia (Vicente Pires)


Pergunta:
qual é o CEP do endereço COPAIBA LOTE 01 TORRE A SALA 1117 PARTE 35 NORTE (AGUAS CLARAS)?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
"qual é o CEP do endereço SHCN CL QUADRA 110, BLOCO B S/N : LOJAS 02S,04S,08,18S; : LOJA 22S; : ASA NORTE?","o CEP do endereço SHCN CL QUADRA 110, BLOCO B S/N : LOJAS 02S,04S,08,18S; : LOJA 22S; : ASA NORTE é 70753520 porque o endereço SHCN CL QUADRA 110, BLOCO B S/N : LOJAS 02S,04S,08,18S; : LOJA 22S; : ASA NORTE está contido no endereço CLN 110 Bloco B Asa Norte cujo CEP é 70753520","CEP: 70775980 | Descrição: CLN 316 Bloco A Loja 07 | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70857550 | Descrição: CLN 409 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70773550 | Descrição: CLN 116 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70743520 | Descrição: CLN 107 Bloco B | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70743510 | Descrição: CLN 107 Bloco A | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70775980 | Descrição: CLN 316 Bloco A Loja 07 | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70857550 | Descrição: CLN 409 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70773550 | Descrição: CLN 116 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70743520 | Descrição: CLN 107 Bloco B | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70743510 | Descrição: CLN 107 Bloco A | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço SHCN CL QUADRA 110, BLOCO B S/N : LOJAS 02S,04S,08,18S; : LOJA 22S; : ASA NORTE?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço RUA DAS PAINEIRAS LOTE 06 SALA 801 TORRE B EDIFICIO ONE BUSINESS NORTE (AGUAS CLARAS)?,o CEP do endereço RUA DAS PAINEIRAS LOTE 06 SALA 801 TORRE B EDIFICIO ONE BUSINESS NORTE (AGUAS CLARAS) é 71918000 porque o endereço RUA DAS PAINEIRAS LOTE 06 SALA 801 TORRE B EDIFICIO ONE BUSINESS NORTE (AGUAS CLARAS) está contido no endereço Rua das Paineiras Norte (Águas Claras) cujo CEP é 71918000,"CEP: 71707993 | Descrição: Rua B, Chácara 14, (Núcleo Rural Córrego da Onça) | Complemento:  | Descrição Bairro:
CEP: 72003470 | Descrição: Rua 8 Chácara 25A | Complemento:  | Descrição Bairro: Vila São José (Vicente Pires)
CEP: 72003750 | Descrição: Rua 8 Chácara 239A | Complemento:  | Descrição Bairro: Vila São José (Vicente Pires)
CEP: 72003800 | Descrição: Rua 8 Chácara 331A | Complemento:  | Descrição Bairro: Vila São José (Vicente Pires)
CEP: 72003140 | Descrição: Rua 10 Chácara 86A | Complemento:  | Descrição Bairro: Vila São José (Vicente Pires)
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 71707993 | Descrição: Rua B, Chácara 14, (Núcleo Rural Córrego da Onça) | Complemento:  | Descrição Bairro:
CEP: 72003470 | Descrição: Rua 8 Chácara 25A | Complemento:  | Descrição Bairro: Vila São José (Vicente Pires)
CEP: 72003750 | Descrição: Rua 8 Chácara 239A | Complemento:  | Descrição Bairro: Vila São José (Vicente Pires)
CEP: 72003800 | Descrição: Rua 8 Chácara 331A | Complemento:  | Descrição Bairro: Vila São José (Vicente Pires)
CEP: 72003140 | Descrição: Rua 10 Chácara 86A | Complemento:  | Descrição Bairro: Vila São José (Vicente Pires)


Pergunta:
qual é o CEP do endereço RUA DAS PAINEIRAS LOTE 06 SALA 801 TORRE B EDIFICIO ONE BUSINESS NORTE (AGUAS CLARAS)?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço RUA 12 CHÁCARA 154 LOTE 01 LOJA 01 S H VICENTE PIRES?,o CEP do endereço RUA 12 CHÁCARA 154 LOTE 01 LOJA 01 S H VICENTE PIRES é 72007565 porque o endereço RUA 12 CHÁCARA 154 LOTE 01 LOJA 01 S H VICENTE PIRES está contido no endereço Rua 12 Chácara 154 Setor Habitacional Vicente Pires cujo CEP é 72007565,"CEP: 71707993 | Descrição: Rua B, Chácara 14, (Núcleo Rural Córrego da Onça) | Complemento:  | Descrição Bairro:
CEP: 72007630 | Descrição: Rua 12 Chácara 147/1 | Complemento:  | Descrição Bairro: Setor Habitacional Vicente Pires
CEP: 72007770 | Descrição: Rua 12 Chácara 129A Conjunto E | Complemento:  | Descrição Bairro: Setor Habitacional Vicente Pires
CEP: 72007750 | Descrição: Rua 12 Chácara 129A Conjunto A | Complemento:  | Descrição Bairro: Setor Habitacional Vicente Pires
CEP: 72005170 | Descrição: Rua 1 Chácara 13A | Complemento:  | Descrição Bairro: Setor Habitacional Vicente Pires
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 71707993 | Descrição: Rua B, Chácara 14, (Núcleo Rural Córrego da Onça) | Complemento:  | Descrição Bairro:
CEP: 72007630 | Descrição: Rua 12 Chácara 147/1 | Complemento:  | Descrição Bairro: Setor Habitacional Vicente Pires
CEP: 72007770 | Descrição: Rua 12 Chácara 129A Conjunto E | Complemento:  | Descrição Bairro: Setor Habitacional Vicente Pires
CEP: 72007750 | Descrição: Rua 12 Chácara 129A Conjunto A | Complemento:  | Descrição Bairro: Setor Habitacional Vicente Pires
CEP: 72005170 | Descrição: Rua 1 Chácara 13A | Complemento:  | Descrição Bairro: Setor Habitacional Vicente Pires


Pergunta:
qual é o CEP do endereço RUA 12 CHÁCARA 154 LOTE 01 LOJA 01 S H VICENTE PIRES?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
qual é o CEP do endereço SCN QUADRA 4 BLOCO B 702 CONJ PARTE 544 ASA NORTE?,o CEP do endereço SCN QUADRA 4 BLOCO B 702 CONJ PARTE 544 ASA NORTE é 70714020 porque o endereço SCN QUADRA 4 BLOCO B 702 CONJ PARTE 544 ASA NORTE está contido no endereço SCN Quadra 4 Bloco B Asa Norte cujo CEP é 70714020,"CEP: 70760555 | Descrição: SCLRN 714 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70730555 | Descrição: SCLRN 705 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70730558 | Descrição: SCLRN 705 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70760554 | Descrição: SCLRN 714 Bloco D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70760558 | Descrição: SCLRN 714 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
","Você é um assistente especializado em responder de forma objetiva e clara às perguntas com base em informações relevantes extraídas de uma base de conhecimento. 

Contexto relevante recuperado:

CEP: 70760555 | Descrição: SCLRN 714 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70730555 | Descrição: SCLRN 705 Bloco E | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70730558 | Descrição: SCLRN 705 Bloco H | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70760554 | Descrição: SCLRN 714 Bloco D | Complemento:  | Descrição Bairro: Asa Norte
CEP: 70760558 | Descrição: SCLRN 714 Bloco H | Complemento:  | Descrição Bairro: Asa Norte


Pergunta:
qual é o CEP do endereço SCN QUADRA 4 BLOCO B 702 CONJ PARTE 544 ASA NORTE?

Se o contexto não contiver informações suficientes, indique que não há dados suficientes para responder com segurança."
